internal_person_id,internal_event_id,inmate_number,full_name,prefix,first_name,middle_name,last_name,suffix,dob,ssn,ssn_hash,ssn_bigrams,fingerprint_id,dmv_number,dmv_state,additional_id_number,additional_id_name,race,ethnicity,sex,hair_color,eye_color,height,weight,street_address,city,state,postal_code,county,country,birth_place,booking_number,jail_entry_date,jail_exit_date,homeless,mental_health,veteran,special_initiative,bond_amount,arresting_agency,bed,cell,block,building,annex,floor,classification,detention,location_type,relocation_date,case_number,source_name,created_date,updated_date
3385617,74579966,3697058,,,Priscilla,,Douglas,,1987-12-29 21:53:32,703-81-0146,,,390128,618116,FL,,,pacisland,nonhispanic,F,,,,,,,,,,,,,2017-08-12 04:37:26,2017-09-24 08:44:03,N,N,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.818894,2017-11-15 19:00:43.818898
39579,21689898,9259610,,,John,,Cruz,,1991-02-11 11:53:34,406-83-0940,,,908468,49182,FL,,,black,nonhispanic,F,,,,,,,,,,,,,2016-12-05 01:29:37,2017-09-20 22:41:17,N,N,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.819221,2017-11-15 19:00:43.819224
1237427,7639971,7387915,,,Joshua,,Cole,,1982-09-13 05:34:53,534-70-9276,,,214184,392101,FL,,,pacisland,hispanic,F,,,,,,,,,,,,,2016-12-23 22:26:39,2017-10-17 03:52:39,N,N,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.819521,2017-11-15 19:00:43.819523
1736544,79606927,1069142,,,Latoya,,Jones,,1957-08-04 19:10:13,660-59-5574,,,768974,856263,FL,,,pacisland,hispanic,F,,,,,,,,,,,,,2017-01-31 21:18:57,2017-11-01 04:12:01,Y,N,N,Y,,,,,,,,,,,,,,,2017-11-15 19:00:43.819823,2017-11-15 19:00:43.819825
1438289,53969516,7008482,,,Thomas,,Thomas,,1959-02-05 16:13:44,369-86-5097,,,470984,967908,FL,,,white,nonhispanic,F,,,,,,,,,,,,,2017-01-29 13:16:52,2017-10-03 01:58:07,N,N,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.820164,2017-11-15 19:00:43.820167
4107843,25055614,4259749,,,Jay,,Wilson,,1955-06-24 17:34:33,777-93-3907,,,459696,159207,FL,,,asian,nonhispanic,F,,,,,,,,,,,,,2017-05-15 20:36:58,2017-09-29 12:07:30,Y,N,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.820460,2017-11-15 19:00:43.820463
6082640,88716180,8856384,,,Luke,,Hawkins,,1998-06-21 10:11:05,460-18-5480,,,225059,721340,FL,,,pacisland,nonhispanic,F,,,,,,,,,,,,,2016-12-02 20:10:46,2017-10-30 10:34:00,N,Y,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.820753,2017-11-15 19:00:43.820755
1856460,10473171,9133597,,,John,,Cruz,,1991-02-11 11:53:34,406-83-0940,,,908468,2589,FL,,,pacisland,nonhispanic,F,,,,,,,,,,,,,2017-01-31 17:47:08,2017-09-30 02:07:54,N,N,Y,Y,,,,,,,,,,,,,,,2017-11-15 19:00:43.821043,2017-11-15 19:00:43.821046
2046495,35519034,1721995,,,John,,Cruz,,1991-02-11 11:53:34,406-83-0940,,,908468,464129,FL,,,black,nonhispanic,F,,,,,,,,,,,,,2017-02-17 14:15:43,2017-10-11 20:35:31,N,Y,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.821335,2017-11-15 19:00:43.821337
9957380,96187329,1831510,,,Jay,,Wilson,,1955-06-24 17:34:33,777-93-3907,,,459696,631029,FL,,,pacisland,nonhispanic,F,,,,,,,,,,,,,2017-03-10 08:01:12,2017-11-10 12:33:00,N,N,N,N,,,,,,,,,,,,,,,2017-11-15 19:00:43.821630,2017-11-15 19:00:43.821632
